GHCND:RQC00666992,"PICO DEL ESTE, US",2010-12-31,1969-10-01
GHCND:RQC00667292,"PONCE 4 E, US",2018-07-31,1898-10-03
GHCND:RQC00667295,"PONCE CITY, US",2010-12-31,1970-07-01
GHCND:RQC00667297,"PONCE MERCEDITA, US",1968-11-30,1957-01-01
GHCND:RQC00667348,"POTALA, US",1969-02-28,1955-01-01
GHCND:RQC00667492,"PUERTO REAL, US",2001-08-31,1955-01-01
GHCND:RQC00667843,"QUEBRADILLAS, US",2000-09-30,1955-01-01
GHCND:RQC00668122,"RINCON 2 NNW, US",1968-05-31,1957-11-01
GHCND:RQC00668126,"RINCON, US",2018-09-13,1968-06-01
GHCND:RQC00668144,"RIO BLANCO LOWER, US",2018-07-31,1955-01-01
GHCND:RQC00668155,"RIO BLANCO UPPER, US",1974-03-31,1955-01-01
GHCND:RQC00668178,"RIO CANAS, US",1969-12-31,1955-01-01
GHCND:RQC00668245,"RIO GRANDE EL VERDE, US",1987-12-31,1956-02-01
GHCND:RQC00668278,"RIO JUEYES, US",1969-01-31,1955-01-01
GHCND:RQC00668301,"RIO PIEDRAS, US",1961-12-31,1931-01-01
GHCND:RQC00668306,"RIO PIEDRAS EXPERIMENTAL STATION, US",2017-10-31,1959-01-01
GHCND:RQC00668535,"SABANA GRANDE 2 ENE, US",1977-04-30,1955-11-01
GHCND:RQC00668536,"SABANA GRANDE 2 ENE, US",2018-07-31,1907-09-01
GHCND:RQC00668623,"SABATER, US",1969-01-31,1955-01-01
GHCND:RQC00668634,"ST JUST, US",1966-12-31,1955-01-01
GHCND:RQC00668684,"SALTILLO 2 ADJUNTAS, US",1991-12-31,1981-05-01
GHCND:RQC00668745,"NAGUABO 3 E, US",1972-03-31,1956-01-01
GHCND:RQC00668757,"SAN GERMAN 4 W, US",1973-07-31,1904-11-01
GHCND:RQC00668814,"WEATHER FORECAST OFFICE SAN JUAN, US",2018-09-18,2006-11-01
GHCND:RQC00668815,"SAN LORENZO 3 S, US",2018-07-31,1966-03-01
GHCND:RQC00668817,"SAN LORENZO ESPINO, US",1959-06-30,1945-01-01
GHCND:RQC00668822,"SAN LORENZO FARM 2 N, US",1988-09-30,1955-01-01
GHCND:RQC00668881,"SAN SEBASTIAN 2 WNW, US",2010-12-31,1955-04-01
GHCND:RQC00668940,"SANTA ISABEL, US",2012-07-31,1955-01-01
GHCND:RQC00668955,"SANTA RITA, US",2017-05-31,1955-01-01
GHCND:RQC00669116,"SIESTA ALEGRE, US",2006-09-30,2004-11-01
GHCND:RQC00669415,"TOA BAJA LEVITTOWN, US",2018-09-18,2004-12-01
GHCND:RQC00669421,"TOA BAJA 1 SSW, US",2010-12-31,1955-01-01
GHCND:RQC00669432,"TORO NEGRO FOREST, US",2018-07-31,1982-08-01
GHCND:RQC00669466,"TORO NEGRO PLANT 2, US",1981-07-31,1955-01-01
GHCND:RQC00669521,"TRUJILLO ALTO 2 SSW, US",2017-08-31,1957-02-01
GHCND:RQC00669608,"UTUADO, US",2010-12-31,1931-01-01
GHCND:RQC00669763,"VIEQUES ISLAND, US",1976-09-30,1955-01-01
GHCND:RQC00669766,"VIEQUES ISLAND NUMBER 2, US",1994-01-31,1983-03-01
GHCND:RQC00669774,"VILLALBA 1 SE, US",2015-05-31,1955-01-01
GHCND:RQC00669829,"YABUCOA 1 NNE, US",1995-03-31,1955-01-01
GHCND:RQC00669860,"YAUCO 1 NW, US",2010-12-31,1981-12-01
GHCND:RQC00669862,"YAUCO 1 S, US",1969-06-30,1955-01-01
GHCND:RQC00669884,"YAUREL 3 NNE, US",1969-03-31,1955-01-01
GHCND:RQW00011603,"BORINQUEN AIRPORT, US",2014-09-23,1942-01-01
GHCND:RQW00011618,"SAN JUAN NS, US",1962-04-30,1945-03-01
GHCND:RQW00011630,"ROOSEVELT ROADS, US",2018-09-16,1942-10-01
GHCND:RQW00011631,"SAN JUAN CITY, US",1977-05-31,1916-05-01
GHCND:RQW00011637,"PONCE SANTA ISABEL, US",1954-03-31,1951-03-01
GHCND:RQW00011641,"SAN JUAN L M MARIN INTERNATIONAL AIRPORT, US",2018-09-17,1941-06-17
GHCND:US10RMHS145,"RMHS 1.6 SSW, CO US",2004-12-14,2004-09-01
GHCND:US10adam001,"JUNIATA 1.5 S, NE US",2018-09-05,2004-05-01
GHCND:US10adam002,"JUNIATA 6.0 SSW, NE US",2018-09-17,2004-05-01
GHCND:US10adam003,"HOLSTEIN 0.1 NW, NE US",2010-09-25,2004-05-01
GHCND:US10adam004,"AYR 3.5 NE, NE US",2018-09-18,2004-05-01
GHCND:US10adam006,"ROSELAND 2.8 SW, NE US",2015-10-05,2004-05-01
GHCND:US10adam007,"HASTINGS 5.4 WSW, NE US",2018-09-05,2004-05-01
GHCND:US10adam008,"GLENVIL 2.3 WSW, NE US",2018-09-08,2004-07-01
GHCND:US10adam010,"JUNIATA 6.9 WSW, NE US",2018-09-08,2004-06-01
GHCND:US10adam011,"ROSELAND 5.2 SW, NE US",2006-11-17,2004-05-01
GHCND:US10adam012,"HASTINGS 2.3 N, NE US",2016-07-07,2004-06-01
GHCND:US10adam013,"HASTINGS 5.3 NNW, NE US",2015-02-05,2004-06-01
GHCND:US10adam015,"KENESAW 2.4 W, NE US",2014-10-02,2004-06-01
GHCND:US10adam016,"HASTINGS 3.7 N, NE US",2006-09-22,2004-06-01
GHCND:US10adam017,"JUNIATA 4.8 NNE, NE US",2018-09-05,2004-07-01
GHCND:US10adam019,"JUNIATA 2.9 WNW, NE US",2018-09-18,2004-07-01
GHCND:US10adam022,"HASTINGS 2.2 W, NE US",2018-09-14,2006-06-01
GHCND:US10adam023,"JUNIATA 1.8 ENE, NE US",2009-07-25,2006-08-01
GHCND:US10adam024,"BLUE HILL 6.3 ENE, NE US",2018-09-05,2006-09-01
GHCND:US10adam025,"HASTINGS 1.1 NW, NE US",2010-09-25,2007-05-01
GHCND:US10adam027,"JUNIATA 1.9 ENE, NE US",2009-09-12,2007-05-01
GHCND:US10adam028,"HOLSTEIN 0.1 ESE, NE US",2013-06-06,2009-03-01
GHCND:US10adam029,"HASTINGS 4.4 ESE, NE US",2015-11-18,2009-03-01
GHCND:US10adam032,"BLUE HILL 2.2 NE, NE US",2018-09-18,2009-10-01
GHCND:US10adam033,"GLENVIL 8.3 SW, NE US",2011-10-12,2010-03-01
GHCND:US10adam034,"KENESAW 0.8 SE, NE US",2018-09-08,2010-03-01
GHCND:US10adam035,"JUNIATA 2.7 ENE, NE US",2018-09-18,2010-03-01
GHCND:US10adam036,"HASTINGS 1.9 SSW, NE US",2018-09-13,2010-05-01
GHCND:US10adam039,"HASTINGS 1.4 NW, NE US",2012-11-11,2010-03-01
GHCND:US10adam041,"AYR 0.3 SSE, NE US",2012-07-09,2010-04-01
GHCND:US10adam043,"JUNIATA 0.2 WNW, NE US",2011-05-13,2010-04-01
